Plot Number,Cultivar
1,unbekannt_1991
1,Rotwiler
1,Malzicher
1,Maigold
1,Selvatico
1,ACW_17220
1,Hans-Ueli-Apfel
1,Promme_Francaise
1,Lambertine
1,Douce_jaune
2,Hagenwyler
2,Jestetter
2,unbekannt_1517
2,ACW_11301
2,Langenfelder
2,Engelshofer
2,Gipswiler
2,Api_rose
2,Iduna
2,Seenger_Moosapfel
3,Zimtapfel
3,unbekannt_2028
3,Gawiler
3,Pom_Giascin
3,Belpberger
3,Sole_di_Sarone
3,Egelshofer
3,Schwyzerapfel
3,Pomme_de_Bleue
3,Sant'anna_regazzi
4,Breiter_Suess
4,Midonette
4,ACW_8099
4,unbekannt_1514
4,Suesser_Zilacher
4,unbekannt_1539
4,Odo006
4,Kanada_Reinette
4,unbekannt_1118
4,Cuir_de_boeufs
5,unbekannt_1516
5,Himbeerapfel
5,unbekannt=Jonathan_1580
5,Saemling
5,unbekannt_1743
5,Ernst_Bosch
5,Schaeferapfel
5,Pomme_ligler
5,Weisser_Gauwiler
5,roter_Haldenapfel
6,ACW_4860
6,Renetta_grigia
6,Eduard_Sieben
6,Calviner
6,Gigant
6,Ramnbour
6,Ilzener_Rosen
6,Obersuerler
6,Calvilla_rosso_d'autumno
6,unbekannt_1457
7,ACW_15097
7,Enterprise
7,Struebli
7,Kaister_Feldapfel
7,unbekannt_2207
7,unbekannt_1495
7,ACW_12556
7,Hediger
7,unbekannt_2054
7,Wagnerapfel
8,melo_sconosciuto_2789
8,Reinette_de_Posieux
8,Puntinata_di_Bigorio
8,Kitquap
8,Strichler
8,Suessapfel
8,ACW_11567
8,rote_Sternreinette
8,ACW_14812
8,Diacciola
9,Pupille=Schweizer_Orangen
9,Paradieser
9,Hauptmann_Lombach
9,Pomme_a_regain
9,Prob._Locale
9,ACW_6707
9,unbekannt_2045
9,Lederapfel_BL
9,Holzerapfel
9,Seegaessler
10,Cramoisie_de_Gascoyne
10,Meligro
10,Créson_Reinet
10,unbekannt_1579
10,Edelbreiter
10,Eierapfel
10,unbekannt_1811
10,Jakobli
10,Gieker
10,Modi
11,Wild_Balgacher
11,Fril
11,Fiaux
11,Carrée_de_Chézard
11,Zimtsuess
11,Sant'_Anna_rossa
11,unbek._Naegeler_1623
11,XII_A_236
11,Schoener_vom_Thale
11,Gravensteiner
12,Egger_Saemling
12,Buehlers_Erdbeerapfel
12,Cox_Korallo
12,Schoenapfel
12,Grise_ovale
12,Museau_de_Mouton
12,Reinette_de_Courgevaux
12,Engelshofer_Holzapfel
12,unbekannt_2081
12,unbekannt_2093
13,Gardiapfel
13,unbekannt_2112
13,Buntkaeppeler
13,Gruniker
13,unbekannt_2103
13,Franc_roseau
13,Guntalinger
13,unbekannt_2226
13,Zapfenapfel-Battlerapfel
13,Glasapfel
14,Lop002
14,Big35
14,Blaeuler
14,Steingruber
14,Botsache
14,Mela_banana_di_Lavanthaler
14,Gelber_Bellefleur
14,Pilomena
14,Kilacher
14,Rosmarin
15,Saemling_Siblingen
15,Latterbacher
15,Bovarde_tardive
15,Blanche
15,Reinette_de_Chevroux
15,unbekannt_2229
15,unbekannt_2042
15,Rot_Risler
15,Sauermittich
15,Gartenapfel
16,Seidler
16,Pomme_citron
16,ACW_13490
16,unbekannt_2026
16,Erler
16,Milxapfel
16,Edelgrauech
16,Suesse
16,ACW_16426
16,Edelsteiner_Steingruber
17,unbekannt_1813
17,Pigeonnière
17,Pomme_de_fer
17,Zuesigaertner
17,Frueher_Sauergrauech
17,Duellmener_Rosen
17,Gloire_du_Rhin
17,Ariwa
17,Gamser_Rosen
17,Roseneggler
18,Lungwiler
18,Illighauser_Holzapfel
18,Weissbreitech
18,Cag013
18,Croison
18,Spitzkasteler
18,Cag12
18,Zucchina
18,Rustica
18,Mannenbacher
19,Doucette
19,Tonhueebler
19,Rewena
19,Unbekannter_von_Ryf_1010
19,Christapfel
19,Niedzwetzkyana
19,Regenapfel
19,Burgundy
19,Eggapfel
19,Getterli
20,Meloque
20,Gippinger_Holzapfel
20,Friedli
20,Gala_Renge
20,Reinette_de_Ruswil
20,Chleisler
20,ACW_8259
20,Lederapfel
20,Somazzo_centrale
20,Buberger
21,Goro
21,Pomme_Midolette
21,Mâle
21,Schwabenapfel
21,Galmiz_Gauwiler
21,Beutchin
21,Schumacher
21,Pomme_Françoise
21,Heimenschwander
21,Saurer_Leder
22,Wachsapfel
22,Weissfraurotacher
22,Junker
22,unbekannt_1970
22,Golden_Del._Shay_4/4
22,Rosita
22,Schweizer_Alant
22,unbekannt_2215
22,Tréboux
22,Framboise_de_Montet
23,Sarganser
23,ACW_14617
23,Eggersrieter
23,Mela_framboise/Zlavia
23,Baenzeheiri
23,Birnenapfel
23,Boiken
23,Guekler
23,ACW_21805
23,Ormelia
24,Eggerapfel
24,Suesser_Pfaffenapfel
24,Buschapfel
24,Spitzorech
24,Pettinghill
