Plot Number,Cultivar
1,unbekannt_1991
1,Rotwiler
1,Malzicher
1,Maigold
1,Selvatico
1,ACW_17220
2,Hans-Ueli-Apfel
2,Promme_Francaise
2,Lambertine
2,Douce_jaune
2,Hagenwyler
2,Jestetter
3,unbekannt_1517
3,ACW_11301
3,Langenfelder
3,Engelshofer
3,Gipswiler
3,Api_rose
4,Iduna
4,Seenger_Moosapfel
4,Zimtapfel
4,unbekannt_2028
4,Gawiler
4,Pom_Giascin
5,Belpberger
5,Sole_di_Sarone
5,Egelshofer
5,Schwyzerapfel
5,Pomme_de_Bleue
5,Sant'anna_regazzi
6,Breiter_Suess
6,Midonette
6,ACW_8099
6,unbekannt_1514
6,Suesser_Zilacher
6,unbekannt_1539
7,Odo006
7,Kanada_Reinette
7,unbekannt_1118
7,Cuir_de_boeufs
7,unbekannt_1516
7,Himbeerapfel
8,unbekannt=Jonathan_1580
8,Saemling
8,unbekannt_1743
8,Ernst_Bosch
8,Schaeferapfel
8,Pomme_ligler
9,Weisser_Gauwiler
9,roter_Haldenapfel
9,ACW_4860
9,Renetta_grigia
9,Eduard_Sieben
9,Calviner
10,Gigant
10,Ramnbour
10,Ilzener_Rosen
10,Obersuerler
10,Calvilla_rosso_d'autumno
10,unbekannt_1457
11,ACW_15097
11,Enterprise
11,Struebli
11,Kaister_Feldapfel
11,unbekannt_2207
11,unbekannt_1495
12,ACW_12556
12,Hediger
12,unbekannt_2054
12,Wagnerapfel
12,melo_sconosciuto_2789
12,Reinette_de_Posieux
13,Puntinata_di_Bigorio
13,Kitquap
13,Strichler
13,Suessapfel
13,ACW_11567
13,rote_Sternreinette
14,ACW_14812
14,Diacciola
14,Pupille=Schweizer_Orangen
14,Paradieser
14,Hauptmann_Lombach
14,Pomme_a_regain
15,Prob._Locale
15,ACW_6707
15,unbekannt_2045
15,Lederapfel_BL
15,Holzerapfel
15,Seegaessler
16,Cramoisie_de_Gascoyne
16,Meligro
16,Créson_Reinet
16,unbekannt_1579
16,Edelbreiter
16,Eierapfel
17,unbekannt_1811
17,Jakobli
17,Gieker
17,Modi
17,Wild_Balgacher
17,Fril
18,Fiaux
18,Carrée_de_Chézard
18,Zimtsuess
18,Sant'_Anna_rossa
18,unbek._Naegeler_1623
18,XII_A_236
19,Schoener_vom_Thale
19,Gravensteiner
19,Egger_Saemling
19,Buehlers_Erdbeerapfel
19,Cox_Korallo
19,Schoenapfel
20,Grise_ovale
20,Museau_de_Mouton
20,Reinette_de_Courgevaux
20,Engelshofer_Holzapfel
20,unbekannt_2081
20,unbekannt_2093
21,Gardiapfel
21,unbekannt_2112
21,Buntkaeppeler
21,Gruniker
21,unbekannt_2103
21,Franc_roseau
22,Guntalinger
22,unbekannt_2226
22,Zapfenapfel-Battlerapfel
22,Glasapfel
22,Lop002
22,Big35
23,Blaeuler
23,Steingruber
23,Botsache
23,Mela_banana_di_Lavanthaler
23,Gelber_Bellefleur
23,Pilomena
24,Kilacher
24,Rosmarin
24,Saemling_Siblingen
24,Latterbacher
24,Bovarde_tardive
24,Blanche
25,Reinette_de_Chevroux
25,unbekannt_2229
25,unbekannt_2042
25,Rot_Risler
25,Sauermittich
25,Gartenapfel
26,Seidler
26,Pomme_citron
26,ACW_13490
26,unbekannt_2026
26,Erler
26,Milxapfel
27,Edelgrauech
27,Suesse
27,ACW_16426
27,Edelsteiner_Steingruber
27,unbekannt_1813
27,Pigeonnière
28,Pomme_de_fer
28,Zuesigaertner
28,Frueher_Sauergrauech
28,Duellmener_Rosen
28,Gloire_du_Rhin
28,Ariwa
29,Gamser_Rosen
29,Roseneggler
29,Lungwiler
29,Illighauser_Holzapfel
29,Weissbreitech
29,Cag013
30,Croison
30,Spitzkasteler
30,Cag12
30,Zucchina
30,Rustica
30,Mannenbacher
31,Doucette
31,Tonhueebler
31,Rewena
31,Unbekannter_von_Ryf_1010
31,Christapfel
31,Niedzwetzkyana
32,Regenapfel
32,Burgundy
32,Eggapfel
32,Getterli
32,Meloque
32,Gippinger_Holzapfel
33,Friedli
33,Gala_Renge
33,Reinette_de_Ruswil
33,Chleisler
33,ACW_8259
33,Lederapfel
34,Somazzo_centrale
34,Buberger
34,Goro
34,Pomme_Midolette
34,Mâle
34,Schwabenapfel
35,Galmiz_Gauwiler
35,Beutchin
35,Schumacher
35,Pomme_Françoise
35,Heimenschwander
35,Saurer_Leder
36,Wachsapfel
36,Weissfraurotacher
36,Junker
36,unbekannt_1970
36,Golden_Del._Shay_4/4
36,Rosita
37,Schweizer_Alant
37,unbekannt_2215
37,Tréboux
37,Framboise_de_Montet
37,Sarganser
37,ACW_14617
38,Eggersrieter
38,Mela_framboise/Zlavia
38,Baenzeheiri
38,Birnenapfel
38,Boiken
38,Guekler
39,ACW_21805
39,Ormelia
39,Eggerapfel
39,Suesser_Pfaffenapfel
39,Buschapfel
39,Spitzorech
40,Pettinghill
