,w2021,w2022,g2021,g2022
unbekannt_1991,59.91608774862575,60.56243100898172,63.53933568806712,78.4371610020715
Rotwiler,62.23915383232723,92.09292840570781,85.40497360186346,90.02938445015903
Malzicher,63.401599770953275,68.84904788229785,79.25904005229772,69.11112632797455
Maigold,68.85229615918026,86.34981189292986,58.02147088381216,60.095274631400535
Selvatico,35.4403354664067,37.948141862159964,28.008107759685057,31.133284098184088
ACW_17220,48.53808851001461,34.79963535391315,60.8933291267591,44.62648108869377
Hans-Ueli-Apfel,48.06488616717966,67.04214713744044,73.56119171416138,47.25457430956426
Promme_Francaise,80.57851016532841,61.17603403290532,98.41769215582988,70.96116787990991
Lambertine,58.489945109882825,65.4133011774176,56.36441901112265,68.0286487274441
Douce_jaune,66.89721202281903,36.032525429640096,48.966525109529144,23.403038287620745
Hagenwyler,64.3143904609126,44.18095439159447,,40.82623642931273
Jestetter,38.373366009843885,91.50006382458206,35.23221654095328,58.801223030422356
unbekannt_1517,72.20678672063164,122.92094732987633,131.49830925791875,52.20970349652158
ACW_11301,64.54580539709069,88.45353958334762,61.73566477840811,59.35803355384328
Langenfelder,70.25534375639774,88.38489571081718,66.3908774072006,54.125205270177844
Engelshofer,60.2397164256212,72.60099576559718,55.65367015955126,54.75350437440489
Gipswiler,69.52492343592502,75.60553760173599,54.18085471026739,56.924306981510384
Api_rose,42.31874148396935,60.402945217103664,,47.6568937012144
Iduna,45.01692502950784,60.38870159121441,63.67739414547041,57.67400885996391
Seenger_Moosapfel,75.04200005067146,51.62600434321214,134.5246080148871,56.54733603061675
Zimtapfel,50.3093675472998,38.23013315009356,81.13656720289346,66.34599883821512
unbekannt_2028,75.7255877360984,,54.042792058672596,65.84443256876627
Gawiler,63.16244089080423,49.53557115183263,49.6764115735535,42.49427508116944
Pom_Giascin,80.43479369966795,76.30186321046371,98.98647108010805,58.50006568700167
Belpberger,99.17285606851863,102.89695492400548,57.588334913972524,81.57857970109814
Sole_di_Sarone,42.974115856637376,61.58720992896342,46.39356585617789,60.765911983507884
Egelshofer,86.53069559319317,56.13558328440327,49.075006499207795,53.66733487993265
Schwyzerapfel,77.41974724432033,91.94470061191225,105.44010684045877,83.8712003344223
Pomme_de_Bleue,128.10701613754395,47.37982881638549,87.02113406777751,76.2267437347697
